OHDEST,POSIT,DATATYPE,FLDNM_IN,FIELDTP,TRNSFRM,FLDNM_OUT,WHERE_CLAUSE
OH_FRPR1,1000,CHAR,RECORDMODE,VARCHAR,RECORDMODE,,
OH_FRPR1,1010,,,FLOAT,"      date_diff(
        'month',
        -- Parse VERSMON as YYYYMM + '01' into a date
        strptime(VERSMON  || '01', '%Y%m%d'),
        -- Parse CALMONTH as YYYYMM + '01' into a date
        strptime(CALMONTH || '01', '%Y%m%d')
      )",STEP,
OH_FRPR1,1100,CHAR,UPD_DATE,DATE,UPD_DATE,UPD_DATE,
OH_FRPR1,1400,CHAR,DEMND_QTY,FLOAT,DEMND_QTY,DEMND_QTY,
OH_FRPR1,1500,CHAR,BSELN_QTY,FLOAT,BSELN_QTY,BSELN_QTY,
OH_FRPR1,1600,CHAR,PROMO_QTY,FLOAT,PROMO_QTY,PROMO_QTY,
OH_FRPR1,1700,CHAR,DMDCP_QTY,FLOAT,DMDCP_QTY,,
OH_FRPR1,1800,CHAR,PRMCP_QTY,FLOAT,PRMCP_QTY,,
OH_FRPR3,1000,CHAR,RECORDMODE,VARCHAR,RECORDMODE,,
OH_FRPR3,1010,,,FLOAT,"      date_diff(
        'month',
        -- Parse VERSMON as YYYYMM + '01' into a date
        strptime(VERSMON  || '01', '%Y%m%d'),
        -- Parse CALMONTH as YYYYMM + '01' into a date
        strptime(CALMONTH || '01', '%Y%m%d')
      )",STEP,-1
OH_FRPR3,1100,CHAR,UPD_DATE,DATE,UPD_DATE,UPD_DATE,
OH_FRPR3,1400,CHAR,DEMND_QTY,FLOAT,DEMND_QTY,DEMND_QTY,
OH_FRPR3,1500,CHAR,BSELN_QTY,FLOAT,BSELN_QTY,BSELN_QTY,
OH_FRPR3,1600,CHAR,PROMO_QTY,FLOAT,PROMO_QTY,PROMO_QTY,
OH_FRPR3,1700,CHAR,DMDCP_QTY,FLOAT,DMDCP_QTY,,
OH_FRPR3,1800,CHAR,PRMCP_QTY,FLOAT,PRMCP_QTY,,
OH_STOCK,200,CHAR,CALDAY,DATE,CALDAY,CALDAY,
OH_STOCK,500,CHAR,END_Q,FLOAT,END_Q,END_Q,
OH_STOCK,700,CHAR,CONSIGNMENT_Q,FLOAT,CONSIGNMENT_Q,CONSIGNMENT_Q,
OH_STOCK,900,CHAR,RECEIPT_Q,FLOAT,RECEIPT_Q,RECEIPT_Q,
OH_STOCK,1100,CHAR,ISSUED_Q,FLOAT,ISSUED_Q,ISSUED_Q,
OH_STOCK,1300,CHAR,UNRES_Q,FLOAT,UNRES_Q,UNRES_Q,
OH_STOCK,1500,CHAR,SUB_CONTR_Q,FLOAT,SUB_CONTR_Q,SUB_CONTR_Q,
OH_STOCK,1700,CHAR,QUAL_INSP_Q,FLOAT,QUAL_INSP_Q,QUAL_INSP_Q,
OH_STOCK,1900,CHAR,TRANSIT_Q,FLOAT,TRANSIT_Q,TRANSIT_Q,
OH_STOCK,2100,CHAR,GR_BLOCKED_Q,FLOAT,GR_BLOCKED_Q,GR_BLOCKED_Q,
OH_STOCK,2300,CHAR,BLOCKED_Q,FLOAT,BLOCKED_Q,BLOCKED_Q,
DSCP_BOMX,100,CHAR,MATERIAL,VARCHAR,"lpad(MATERIAL, 18, '0')",MATERIAL,
DSCP_BOMX,300,CHAR,IDNRK,VARCHAR,IDNRK,IDNRK,
DSCP_BOMX,400,CHAR,DATEFROM,DATE,DATEFROM,DATEFROM,
DSCP_BOMX,500,CHAR,DATETO,DATE,DATETO,DATETO,
DSCP_BOMX,600,CHAR,QUANTITY,FLOAT,QUANTITY,QUANTITY,
DSCP_MATE,100,CHAR,MATERIAL,VARCHAR,"lpad(MATERIAL, 18, '0')",MATERIAL,
DSCP_MATE,900,DEC,BU2_PAL,FLOAT,BU2_PAL,BU2_PAL,
DSCP_MATE,1000,DEC,BU2_CCG,FLOAT,BU2_CCG,BU2_CCG,
DSCP_MATE,1100,DEC,BU2_LAY,FLOAT,BU2_LAY,BU2_LAY,
DSCP_MATE,1200,DEC,BU2_CS,FLOAT,BU2_CS,BU2_CS,
DSCP_MATE,1300,DEC,BU2_PAC,FLOAT,BU2_PAC,BU2_PAC,
DSCP_MATE,1400,DEC,BU2_L,FLOAT,BU2_L,BU2_L,
DSCP_MATE,1500,DEC,BU2_KG,FLOAT,BU2_KG,BU2_KG,
DSCP_MATE,1600,DEC,BU2_DS,FLOAT,BU2_DS,BU2_DS,
DSCP_MATE,1700,DEC,BU2_CNT,FLOAT,BU2_CNT,BU2_CNT,
DSCP_MATE,1800,DEC,BU2_EA,FLOAT,BU2_EA,BU2_EA,
DSCP_MATE,1900,CHAR,PRDH4,VARCHAR,PRDH4,PRDH4,
DSCP_MATE,2100,CHAR,PRDH3,VARCHAR,PRDH3,PRDH3,
