OHDEST,POSIT,DATATYPE,FLDNM_IN,FIELDTP,TRNSFRM,FLDNM_OUT
CUST_ATTR,100,CHAR,SOLDTO_CODE,VARCHAR,SOLDTO_CODE,SOLDTO_CODE
CUST_ATTR,200,CHAR,SOLDTO_NAME,VARCHAR,SOLDTO_NAME,SOLDTO_NAME
CUST_ATTR,300,CHAR,SOLDTO_SHNM,VARCHAR,SOLDTO_SHNM,SOLDTO_SHNM
CUST_ATTR,400,CHAR,SALESORG_CODE,VARCHAR,SALESORG_CODE,SALESORG_CODE
CUST_ATTR,500,CHAR,CUST_HIE04,VARCHAR,CUST_HIE04,CUST_HIE04
CUST_ATTR,600,CHAR,CUST_HIE04_NAME,VARCHAR,CUST_HIE04_NAME,CUST_HIE04_NAME
CUST_ATTR,700,CHAR,CUST_HIE04_SHNM,VARCHAR,CUST_HIE04_SHNM,CUST_HIE04_SHNM
CUST_ATTR,800,CHAR,CUST_HIE03,VARCHAR,CUST_HIE03,CUST_HIE03
CUST_ATTR,900,CHAR,CUST_HIE03_NAME,VARCHAR,CUST_HIE03_NAME,CUST_HIE03_NAME
CUST_ATTR,1000,CHAR,CUST_HIE03_SHNM,VARCHAR,CUST_HIE03_SHNM,CUST_HIE03_SHNM
CUST_ATTR,1100,CHAR,CUST_HIE02,VARCHAR,CUST_HIE02,CUST_HIE02
CUST_ATTR,1200,CHAR,CUST_HIE02_NAME,VARCHAR,CUST_HIE02_NAME,CUST_HIE02_NAME
CUST_ATTR,1300,CHAR,CUST_HIE02_SHNM,VARCHAR,CUST_HIE02_SHNM,CUST_HIE02_SHNM
CUST_ATTR,1400,CHAR,CUST_HIE01,VARCHAR,CUST_HIE01,CUST_HIE01
CUST_ATTR,1500,CHAR,CUST_HIE01_NAME,VARCHAR,CUST_HIE01_NAME,CUST_HIE01_NAME
CUST_ATTR,1600,CHAR,CUST_HIE01_SHNM,VARCHAR,CUST_HIE01_SHNM,CUST_HIE01_SHNM
CUST_ATTR,1700,CHAR,DEL_INDIC,VARCHAR,DEL_INDIC,DEL_INDIC
DSCP_BOMX,100,CHAR,MATERIAL,VARCHAR,MATERIAL,MATERIAL
DSCP_BOMX,200,CHAR,PLANT,VARCHAR,PLANT,PLANT
DSCP_BOMX,300,CHAR,/BIC/IDNRK,VARCHAR,/BIC/IDNRK,/BIC/IDNRK
DSCP_BOMX,400,CHAR,/BIC/DATEFROM,VARCHAR,/BIC/DATEFROM,/BIC/DATEFROM
DSCP_BOMX,500,CHAR,/BIC/DATETO,VARCHAR,/BIC/DATETO,/BIC/DATETO
DSCP_BOMX,600,DEC,QUANTITY,VARCHAR,QUANTITY,QUANTITY
DSCP_CUST,100,CHAR,CUSTOMER,VARCHAR,CUSTOMER,CUSTOMER
DSCP_CUST,200,CHAR,CUSTOMER_TMD,VARCHAR,CUSTOMER_TMD,CUSTOMER_TMD
DSCP_CUST,300,CHAR,SALESORG,VARCHAR,SALESORG,SALESORG
DSCP_CUST,400,CHAR,/BIC/CUSTHIE04,VARCHAR,/BIC/CUSTHIE04,/BIC/CUSTHIE04
DSCP_CUST,500,CHAR,CUST_HIE04_TMD,VARCHAR,CUST_HIE04_TMD,CUST_HIE04_TMD
DSCP_CUST,600,CHAR,CUST_HIE03,VARCHAR,CUST_HIE03,CUST_HIE03
DSCP_CUST,700,CHAR,CUST_HIE03_TMD,VARCHAR,CUST_HIE03_TMD,CUST_HIE03_TMD
DSCP_CUST,800,CHAR,CUST_HIE02,VARCHAR,CUST_HIE02,CUST_HIE02
DSCP_CUST,900,CHAR,CUST_HIE02_TMD,VARCHAR,CUST_HIE02_TMD,CUST_HIE02_TMD
DSCP_CUST,1000,CHAR,CUST_HIE01,VARCHAR,CUST_HIE01,CUST_HIE01
DSCP_CUST,1100,CHAR,CUST_HIE01_TMD,VARCHAR,CUST_HIE01_TMD,CUST_HIE01_TMD
DSCP_CUST,1200,CHAR,DEL_INDIC,VARCHAR,DEL_INDIC,DEL_INDIC
DSCP_MATE,100,CHAR,MATERIAL,VARCHAR,MATERIAL,MATERIAL
DSCP_MATE,200,CHAR,MATERIAL_TMD,VARCHAR,MATERIAL_TMD,MATERIAL_TMD
DSCP_MATE,300,CHAR,MATL_TYPE,VARCHAR,MATL_TYPE,MATL_TYPE
DSCP_MATE,400,CHAR,MATL_TYPE_TMD,VARCHAR,MATL_TYPE_TMD,MATL_TYPE_TMD
DSCP_MATE,500,CHAR,MATL_GROUP,VARCHAR,MATL_GROUP,MATL_GROUP
DSCP_MATE,600,CHAR,MATL_GROUP_TSH,VARCHAR,MATL_GROUP_TSH,MATL_GROUP_TSH
DSCP_MATE,700,UNIT,BASE_UOM,VARCHAR,BASE_UOM,BASE_UOM
DSCP_MATE,800,CHAR,BASE_UOM_TSH,VARCHAR,BASE_UOM_TSH,BASE_UOM_TSH
DSCP_MATE,900,DEC,BU2_PAL,VARCHAR,BU2_PAL,BU2_PAL
DSCP_MATE,1000,DEC,BU2_CCG,VARCHAR,BU2_CCG,BU2_CCG
DSCP_MATE,1100,DEC,BU2_LAY,VARCHAR,BU2_LAY,BU2_LAY
